Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area,Chance_1,Chance_2,Chance_3,Chance_4,Chance_5
accounting,accounting,3,100,90,0,20,0,2,3,3,1
art_gallery,art_gallery,2,150,80,4,0,0,1,2,3,2
art_center,art_gallery,,,,,,,,,,
association_or_organization,association_or_organization,3,240,80,0,30,0,2,2,3,2
non_profit_organization,association_or_organization,,,,,,,,,,
non_governmental_organization,association_or_organization,,,,0,15,,,,,
political_party,association_or_organization,,150,80,0,15,,,,,
atm,atm,3,50,100,2,0,3,6,10,12,14
bakery,bakery,3,100,70,0,60,20,14,16,16,18
wholesale_bakery,bakery,,,,,,,,,,
bank,bank,3,350,80,0,40,1,2,5,6,4
bar,bar,2,120,80,0,20,5,8,10,7,3
beauty_salon,beauty_salon,2,100,100,0,20,1,6,8,4,2
beautician,beauty_salon,,,,,,,,,,
tanning_studio,beauty_salon,,,,,,,,,,
stylist,beauty_salon,,60,100,0,30,,,,,
makeup_artist,beauty_salon,,60,100,0,30,,,,,
bicycle_store,bicycle_store,3,100,90,0,40,10,8,4,2,0
bicycle_repair_shop,bicycle_store,,60,90,,,,,,,
book_store,book_store,3,80,90,3,0,12,10,6,4,2
office_supply_store,book_store,,120,90,5,0,,,,,
stationery_store,book_store,,120,90,6,0,,,,,
pen_store,book_store,,,,,,,,,,
copy_shop,book_store,,,,,,,,,,
commercial_printer,book_store,,,,,,,,,,
paper_store,book_store,,,,,,,,,,
bus,bus,3,30,100,1,0,40,20,15,10,5
bus_station,bus_station,2,4200,60,0,60,2,3,5,4,2
cafe,cafe,3,100,90,0,20,2,7,12,15,10
cafeteria,cafe,,,,,,,,,,
campground,campground,2,20000,10,2,0,6,4,4,3,2
car_dealer,car_dealer,3,400,80,0,25,0,1,2,3,1
truck_dealer,car_dealer,,500,50,,,,,,,
motor_vehicle_dealer,car_dealer,,,,,,,,,,
motorcycle_dealer,car_dealer,,100,90,0,20,,,,,
car_repair,car_repair,3,120,80,0,20,0,2,4,6,2
auto_repair_shop,car_repair,,,,,,,,,,
car_service,car_repair,,,,,,,,,,
vehicle_inspection,car_repair,,260,80,,,,,,,
car_wash,car_wash,3,120,60,0,20,0,2,4,6,2
car_detailing_service,car_wash,,,,,,,,,,
casino,casino,2,1000,100,0,20,0,2,4,6,8
race_course,casino,,4000,0,8,0,,,,,
cemetery,cemetery,3,85000,10,4,0,1,1,2,4,6
church,church,2,1500,80,6,0,7,3,3,7,14
cathedral,church,,2000,80,10,0,,,,,
place_of_worship,church,,,,,,,,,,
religious_institution,church,,,,,,,,,,
clothing_store,clothing_store,3,100,100,0,20,10,15,15,10,6
childrens_clothing_store,clothing_store,,80,100,,,,,,,
club,club,2,2500,70,0,80,15,12,7,7,5
construction_company,construction_company,1,100,80,0,15,0,0,0,0,0
contractor,construction_company,,,,,,,,,,
building_firm,construction_company,,,,,,,,,,
housing_development,construction_company,,,,,,,,,,
home_builder,construction_company,,,,,,,,,,
housing_cooperative,construction_company,,,,,,,,,,
convenience_store,convenience_store,3,80,100,0,20,20,30,50,70,45
grocery_or_supermarket,convenience_store,,,,0,40,,,,,
butcher_shop,convenience_store,,,,,,,,,,
poultry_store,convenience_store,,70,90,,,,,,,
fish_store,convenience_store,,70,80,,,,,,,
fruit_and_vegetable_store,convenience_store,,50,60,,,,,,,
health_food_store,convenience_store,,,,,,,,,,
grocery_store,convenience_store,,,,0,30,,,,,
market,convenience_store,,,,0,30,,,,,
farm,convenience_store,,,,,,,,,,
farmers_market,convenience_store,,,,,,,,,,
fresh_food_market,convenience_store,,,,,,,,,,
cold_cut_store,convenience_store,,,,,,,,,,
corporate_office,corporate_office,1,750,80,0,15,0,0,0,0,0
radio_broadcaster,corporate_office,,150,100,,,,,,,
software_company,corporate_office,,250,100,0,10,,,,,
web_hosting_service,corporate_office,,250,100,0,30,,,,,
manufacturer,corporate_office,,1000,80,,,,,,,
media_company,corporate_office,,250,90,,,,,,,
news_service,corporate_office,,250,90,,,,,,,
newspaper_publisher,corporate_office,,250,100,,,,,,,
television_station,corporate_office,,500,80,,,,,,,
engineering_consultant,corporate_office,,250,80,,,,,,,
electric_utility_company,corporate_office,,250,80,,,,,,,
agricultural_service,corporate_office,,400,80,0,20,,,,,
agrochemicals_supplier,corporate_office,,600,80,0,20,,,,,
fertilizer_supplier,corporate_office,,300,80,0,20,,,,,
power_plant,corporate_office,,2000,10,6,0,,,,,
military_base,corporate_office,,2000,50,0,40,,,,,
coworking_space,corporate_office,,200,100,0,40,,,,,
packaging_company,corporate_office,,7000,80,0,100,,,,,
industrial_equipment_supplier,corporate_office,,1200,80,0,25,,,,,
construction_equipment_supplier,corporate_office,,2000,60,0,40,,,,,
electronics_company,corporate_office,,250,90,0,25,,,,,
machining_manufacturer,corporate_office,,600,90,0,30,,,,,
metal_construction_company,corporate_office,,2000,90,0,35,,,,,
food_producer,corporate_office,,1000,90,0,25,,,,,
brewery,corporate_office,,50000,80,0,50,,,,,
chemical_plant,corporate_office,,2000,80,0,30,,,,,
stock_broker,corporate_office,,250,90,0,15,,,,,
courthouse,courthouse,1,200,100,0,20,0,0,0,0,0
cultural_center,cultural_center,2,1600,80,0,40,3,8,12,10,8
convention_center,cultural_center,,1000,70,,,,,,,
community_center,cultural_center,,700,70,,,,,,,
retirement_community,cultural_center,,300,70,,,,,,,
dentist,dentist,3,50,100,3,0,3,2,2,2,3
denture_care_center,dentist,,100,100,,,,,,,
department_store,department_store,3,15000,80,0,80,7,10,15,15,10
doctor,doctor,3,60,100,4,0,4,2,2,4,6
medical_office,doctor,,,,,,,,,,
optometrist,doctor,,,,4,0,,,,,
nutritionist,doctor,,,,,,,,,,
health_consultant,doctor,,,,,,,,,,
psychologist,psychologist,3,60,100,4,0,2,2,2,1,1
meditation_center,psychologist,,,,,,,,,,
psychotherapist,psychologist,,,,,,,,,,
occupational_therapist,psychologist,,,,,,,,,,
mental_health_service,psychologist,,,,,,,,,,
drugstore,drugstore,3,60,100,2,0,30,25,20,20,15
kiosk,drugstore,,,,2,0,,,,,
ice_cream_shop,drugstore,,,,4,0,,,,,
money_transfer_service,drugstore,,,,,,,,,,
lottery_retailer,drugstore,,,,2,0,,,,,
lottery_shop,drugstore,,,,,,,,,,
betting_agency,drugstore,,,,2,0,,,,,
dessert_shop,drugstore,,,,4,0,,,,,
newsstand,drugstore,,20,0,1,0,,,,,
candy_store,drugstore,,,,,,,,,,
electronics_store,electronics_store,3,250,80,0,25,4,6,8,8,4
electronics_repair_shop,electronics_store,,140,100,0,20,,,,,
fire_station,fire_station,1,300,80,0,30,0,0,0,0,0
florist,florist,3,100,60,0,40,0,1,2,2,4
funeral_home,funeral_home,3,800,50,6,0,0,1,1,1,3
furniture_store,furniture_store,3,150,80,0,30,1,1,2,3,1
furniture_manufacturer,furniture_store,,200,80,0,25,,,,,
gas_station,gas_station,3,800,30,8,0,4,10,15,15,10
gym,gym,2,180,80,8,0,6,20,16,12,7
hair_care,hair_care,3,80,100,0,20,4,5,5,4,3
hardware_store,hardware_store,3,200,80,0,25,3,6,14,18,8
building_materials_supplier,hardware_store,,,,0,80,,,,,
building_materials_store,hardware_store,,,,0,60,,,,,
lumber_store,hardware_store,,,,,,,,,,
door_supplier,hardware_store,,,,,,,,,,
window_supplier,hardware_store,,,,,,,,,,
metal_supplier,hardware_store,,,,,,,,,,
aluminium_supplier,hardware_store,,,,,,,,,,
iron_steel_contractor,hardware_store,,,,,,,,,,
tool_store,hardware_store,,,,,,,,,,
wood_supplier,hardware_store,,,,0,60,,,,,
saw_mill,hardware_store,,,,0,60,,,,,
home_goods_store,home_goods_store,3,120,100,0,40,2,4,6,8,4
hospital,hospital,3,15000,70,0,50,0,0,1,2,4
insurance_agency,insurance_agency,3,100,90,0,12,0,1,2,3,1
insurance_company,insurance_agency,,120,100,0,12,,,,,
internet_service_provider,internet_service_provider,3,160,100,0,20,1,2,2,2,1
cable_company,internet_service_provider,,,,,,,,,,
telephone_company,internet_service_provider,,,,,,,,,,
jewelry_store,jewelry_store,3,100,100,0,25,0,1,2,3,2
watch_store,jewelry_store,,,,,,,,,,
clock_repair_service,jewelry_store,,,,,,,,,,
laundry,laundry,3,100,100,3,0,0,2,4,2,3
law_firm,law_firm,3,140,80,0,20,0,1,2,3,1
labor_union,law_firm,,200,80,0,15,,,,,
financial_institution,law_firm,,,,,,,,,,
legal_services,law_firm,,,,,,,,,,
loan_agency,law_firm,,,,,,,,,,
import_export_company,law_firm,,,,,,,,,,
lawyer,lawyer,3,100,80,3,0,0,1,2,4,2
notary_public,lawyer,,,,,,,,,,
land_surveyor,lawyer,,,,,,,,,,
library,library,3,500,90,4,0,5,10,15,7,2
liquor_store,liquor_store,3,80,100,0,30,0,10,12,14,10
beverage_distributor,liquor_store,,,,,,,,,,
local_government_office,local_government_office,3,1000,90,0,15,0,2,4,6,3
district_government_office,local_government_office,,,,0,10,,,,,
government_office,local_government_office,,,,0,10,,,,,
federal_government_office,local_government_office,,,,0,10,,,,,
district_justice,local_government_office,,,,,,,,,,
civil_registry,local_government_office,,220,100,,,,,,,
registry_office,local_government_office,,200,100,,,,,,,
research_institute,local_government_office,,600,80,0,18,,,,,
locksmith,locksmith,3,60,80,4,0,0,1,2,3,2
lodging,lodging,1,1200,80,0,80,0,0,0,0,0
apartment_building,lodging,,,,,,,,,,
meal_delivery,meal_delivery,3,100,80,0,30,5,10,15,15,10
meal_takeaway,meal_takeaway,3,100,80,6,0,5,10,15,15,10
medical_center,medical_center,3,400,90,0,25,2,3,3,4,6
wellness_center,medical_center,,,,,,,,,,
rehabilitation_center,medical_center,,,,,,,,,,
community_health_center,medical_center,,,,0,20,,,,,
public_medical_center,medical_center,,,,,,,,,,
eye_care_center,medical_center,,,,,,,,,,
diagnostic_center,medical_center,,,,,,,,,,
obstetrics_gynecology_clinic,medical_center,,,,,,,,,,
orthopedic_clinic,medical_center,,,,0,40,,,,,
addiction_treatment_center,medical_center,,,,0,40,,,,,
nurse_practitioner,medical_center,,,,,,,,,,
nursing_association,medical_center,,,,,,,,,,
medical_clinic,medical_clinic,3,450,90,0,30,1,1,2,3,4
medical_group,medical_group,3,350,90,0,25,1,1,2,3,4
medical_lab,medical_lab,3,120,80,0,20,1,1,2,3,4
laboratory,medical_lab,,100,100,0,15,,,,,
fertility_clinic,medical_lab,,,,,,,,,,
metal_workshop,metal_workshop,1,1200,80,0,40,0,0,0,0,0
metal_working_shop,metal_workshop,,,,,,,,,,
metallurgy_company,metal_workshop,,,,,,,,,,
aluminum_window,metal_workshop,,,,0,25,,,,,
auto_parts_manufacturer,metal_workshop,,3000,80,0,50,,,,,
movie_rental,movie_rental,3,100,80,4,0,0,1,2,3,4
movie_theater,movie_theater,2,1300,95,10,0,10,7,5,3,1
performing_arts_theater,movie_theater,,,,,,,,,,
amphitheatre,movie_theater,,1000,0,2,0,,,,,
concert_hall,movie_theater,,500,100,4,0,,,,,
moving_company,moving_company,1,100,100,4,0,0,0,0,0,0
museum,museum,2,2200,80,6,0,4,3,2,1,2
childrens_party_service,childrens_party_service,2,600,80,0,60,12,6,6,0,0
children_amusement_center,childrens_party_service,,,,,,,,,,
night_club,night_club,2,1200,80,0,80,4,16,10,8,4
dance_club,night_club,,,,,,,,,,
function_room_facility,night_club,,,,,,,,,,
wedding_venue,night_club,,,,,,,,,,
event_venue,night_club,,,,0,70,,,,,
event_management_company,night_club,,,,,,,,,,
bowling_alley,night_club,,,,,,,,,,
nursery_school,nursery_school,1,400,70,0,50,0,0,0,0,0
nursing_home,nursing_home,1,500,80,0,20,0,0,0,0,0
nursing_agency,nursing_home,,,,,,,,,,
retirement_home,nursing_home,,,,,,,,,,
senior_citizens_care_service,nursing_home,,,,,,,,,,
park,park,2,6000,0,2,0,30,20,15,10,10
playground,park,,,,,,,,,,
public_bath,park,,,,,,,,,,
parking,parking,3,1000,10,3,0,0,4,12,16,8
pet_store,pet_store,3,100,100,0,30,8,6,8,8,5
feed_store,pet_store,,,,,,,,,,
pet_supply_store,pet_store,,,,,,,,,,
pharmacy,pharmacy,3,70,100,4,0,2,4,7,10,15
physiotherapist,physiotherapist,3,90,80,0,30,1,2,3,6,10
kinesiologist,physiotherapist,,,,,,,,,,
chiropractor,physiotherapist,,,,,,,,,,
osteopath,physiotherapist,,,,,,,,,,
holistic_medicine_practitioner,physiotherapist,,,,,,,,,,
alternative_medicine_practitioner,physiotherapist,,,,,,,,,,
wellness_program,physiotherapist,,,,,,,,,,
police,police,3,600,75,0,15,1,2,2,2,2
state_police,police,,,,,,,,,,
coast_guard_station,police,,,,,,,,,,
post_office,post_office,3,500,80,0,20,4,8,10,12,8
primary_school,primary_school,1,5000,80,0,8,0,0,0,0,0
prison,prison,1,50000,50,0,15,0,0,0,0,0
real_estate_agency,real_estate_agency,3,100,80,0,20,0,2,4,3,2
architecture_firm,real_estate_agency,,,,0,25,,,,,
real_estate_agents,real_estate_agency,,,,,,,,,,
property_management_company,real_estate_agency,,200,80,,,,,,,
restaurant,restaurant,2,250,80,0,30,10,12,14,16,10
school,school,3,400,90,0,40,20,12,6,4,2
educational_institution,school,,,,,,,,,,
educational_consultant,school,,,,,,,,,,
art_school,school,,,,,,,,,,
language_school,school,,,,,,,,,,
tutoring_service,school,,,,,,,,,,
english_language_school,school,,,,,,,,,,
music_school,school,,,,,,,,,,
music_college,school,,,,,,,,,,
education_center,school,,,,,,,,,,
learning_center,school,,100,90,,,,,,,
cooking_school,school,,,,,,,,,,
beauty_school,school,,,,,,,,,,
drama_school,school,,,,,,,,,,
special_education_school,school,,,,,,,,,,
secondary_school,secondary_school,1,5000,80,0,8,0,0,0,0,0
service,service,1,80,100,0,15,0,0,0,0,0
technical_service,service,,,,0,15,,,,,
graphic_designer,service,,,,4,0,,,,,
transportation_service,service,,,,6,0,,,,,
electrician,service,,,,2,0,,,,,
architect,service,,,,2,0,,,,,
photographer,service,,,,2,0,,,,,
blacksmith,service,,,,,,,,,,
advertising_agency,service,,,,0,20,,,,,
auto_wrecker,service,,,,,,,,,,
computer_repair_service,service,,,,,,,,,,
taxi_service,service,,,,4,0,,,,,
shipping_and_mailing_service,service,,250,80,0,30,,,,,
shipping_service,service,,200,80,0,30,,,,,
mailing_service,service,,,,,,,,,,
courier_service,service,,,,,,,,,,
repair_service,service,,,,,,,,,,
security_system_supplier,service,,,,0,20,,,,,
tax_preparation,service,,,,,,,,,,
website_designer,service,,,,0,12,,,,,
party_planner,service,,,,,,,,,,
computer_consultant,service,,,,,,,,,,
internet_marketing_service,service,,,,,,,,,,
consultant,service,,,,0,25,,,,,
marketing_consultant,service,,,,0,25,,,,,
computer_support_and_services,service,,,,,,,,,,
marketing_agency,service,,,,,,,,,,
electrical_repair_shop,service,,,,,,,,,,
photography_studio,service,,,,,,,,,,
digital_printer,service,,,,0,20,,,,,
digital_printing_service,service,,,,0,20,,,,,
sign_shop,service,,,,,,,,,,
carpenter,service,,,,0,40,,,,,
party_equipment_rental_service,service,,,,,,,,,,
distribution_service,service,,,,,,,,,,
farm_equipment_supplier,service,,,,,,,,,,
air_conditioning_contractor,service,,,,,,,,,,
security_service,service,,,,,,,,,,
gas_company,service,,,,,,,,,,
bus_company,service,,,,,,,,,,
event_planner,service,,,,,,,,,,
photography_service,service,,,,,,,,,,
air_conditioning_repair_service,service,,,,,,,,,,
dating_service,service,,,,,,,,,,
human_ressource_consulting,service,,,,,,,,,,
business_management_consultant,service,,,,,,,,,,
desktop_publishing_service,service,,,,,,,,,,
emergency_care_service,service,,,,,,,,,,
book_publisher,service,,,,,,,,,,
television_repair_service,service,,,,,,,,,,
boat_repair_shop,service,,,,,,,,,,
computer_service,service,,,,,,,,,,
refrigerator_repair_service,service,,,,,,,,,,
commercial_refrigeration,service,,,,,,,,,,
electric_motor_repair_shop,service,,,,,,,,,,
appliance_repair_service,service,,,,,,,,,,
house_cleaning_service,service,,,,,,,,,,
swimming_pool_contractor,service,,,,,,,,,,
boat_dealer,service,,,,4,0,,,,,
civil_engineer,service,,,,4,0,,,,,
cremation_service,service,,,,,,,,,,
catering_service,service,,,,,,,,,,
crane_service,service,,,,4,0,,,,,
business_to_business_service,service,,,,,,,,,,
freight_forwarding_service,service,,,,4,0,,,,,
artist,service,,,,4,0,,,,,
car_rental,service,,60,100,0,15,,,,,
commercial_cleaning_service,service,,,,,,,,,,
towing_service,service,,,,,,,,,,
security_guard_service,service,,,,,,,,,,
garbage_collection_service,service,,,,,,,,,,
translator,service,,,,,,,,,,
three_d_printing_service,service,,,,,,,,,,
laser_cutting_service,service,,,,,,,,,,
janitorial_service,service,,,,,,,,,,
equipment_rental_agency,service,,,,,,,,,,
emergency_care,service,,,,,,,,,,
interior_designer,service,,,,,,,,,,
fashion_designer,service,,,,,,,,,,
clothing_alteration_service,service,,,,,,,,,,
orthotics_and_prosthetics_service,service,,,,,,,,,,
audio_visual_consultant,service,,,,,,,,,,
furniture_rental_service,service,,,,,,,,,,
shipping_company,shipping_company,3,300,80,0,30,1,3,3,3,2
logistics_service,shipping_company,,,,,,,,,,
shoe_store,shoe_store,3,80,100,0,20,5,4,4,4,3
shopping_mall,shopping_mall,3,100,90,0,25,10,12,15,15,10
social_services_organization,social_services_organization,3,300,90,0,30,0,3,3,6,6
occupational_safety_and_health,social_services_organization,,,,,,,,,,
credit_counseling_service,social_services_organization,,160,90,0,20,,,,,
spa,spa,2,150,80,0,25,0,2,3,4,1
massage_therapist,spa,,50,100,2,0,,,,,
reiki_therapist,spa,,100,100,4,0,,,,,
sports_club,sports_club,2,5000,30,0,200,60,30,18,9,2
soccer_club,sports_club,,4000,0,,,,,,,
baseball_club,sports_club,,1000,100,,,,,,,
swim_club,sports_club,,2000,80,0,150,,,,,
rugby_club,sports_club,,2000,0,4,0,,,,,
golf_club,sports_club,,2000,0,3,0,,,,,
sailing_club,sports_club,,1500,0,4,0,,,,,
boat_club,sports_club,,1500,40,4,0,,,,,
social_club,sports_club,,1000,70,10,0,,,,,
sports_complex,sports_complex,2,3000,20,6,0,30,15,7,4,1
soccer_field,sports_complex,,2000,7,4,0,,,,,
futsal_field,sports_complex,,2000,5,4,0,,,,,
hockey_field,sports_complex,,4000,0,4,0,,,,,
padel_court,sports_complex,,250,0,2,0,,,,,
basketball_court,sports_complex,,500,100,2,0,,,,,
tennis_court,sports_complex,,520,0,2,0,,,,,
recreation_center,sports_complex,,1000,20,2,0,,,,,
sports_school,sports_school,2,1000,20,6,0,25,10,5,2,0
dance_school,sports_school,,200,100,4,0,,,,,
dance_conservatory,sports_school,,200,100,4,0,,,,,
dance_company,sports_school,,200,100,4,0,,,,,
martial_arts_school,sports_school,,200,100,4,0,,,,,
swimming_school,sports_school,,800,50,5,0,,,,,
stadium,stadium,2,15000,10,2,0,5,7,6,5,3
car_race_track,stadium,,10000,0,,,,,,,
storage,storage,1,400,90,0,80,0,0,0,0,0
wholesaler,storage,,100,100,0,25,,,,,
pharmaceutical_products_wholesaler,storage,,,,0,30,,,,,
beauty_product_supplier,storage,,,,,,,,,,
food_manufacturing_supply,storage,,,,,,,,,,
food_products_supplier,storage,,,,,,,,,,
food_broker,storage,,,,,,,,,,
beer_distributor,storage,,300,90,,,,,,,
bottled_water_supplier,storage,,,,,,,,,,
recycling_center,storage,,,,,,,,,,
fruit_and_vegetable_wholesaler,storage,,75000,35,0,75,,,,,
store,store,3,80,100,4,0,20,35,50,60,40
general_store,store,,,,,,,,,,
gift_shop,store,,60,100,0,40,,,,,
camping_store,store,,,,,,,,,,
cell_phone_store,store,,,,0,20,,,,,
cleaning_products_supplier,store,,50,100,3,0,,,,,
computer_accessories_store,store,,,,,,,,,,
fashion_accessories_store,store,,60,100,3,0,,,,,
handicraft,store,,,,,,,,,,
toy_store,store,,,,0,20,,,,,
video_game_store,store,,60,100,0,20,,,,,
mobile_phone_repair_shop,store,,50,100,4,0,,,,,
print_shop,store,,,,0,20,,,,,
picture_frame_shop,store,,,,,,,,,,
sporting_goods_store,store,,,,,,,,,,
outdoor_sports_store,store,,,,,,,,,,
health_and_beauty_shop,store,,,,,,,,,,
tattoo_shop,store,,50,100,2,0,,,,,
tattoo_and_piercing_shop,store,,50,100,2,0,,,,,
garden_center,store,,,,0,60,,,,,
cell_phone_accessory_store,store,,50,100,2,0,,,,,
frozen_food_store,store,,,,3,0,,,,,
electrical_supply_store,store,,,,0,30,,,,,
car_accessories_store,store,,,,0,30,,,,,
diaper_service,store,,,,,,,,,,
painting,store,,,,,,,,,,
plant_nursery,store,,,,,,,,,,
cosmetics_store,store,,,,,,,,,,
cosmetics_and_parfumes_supplier,store,,,,,,,,,,
auto_parts_store,store,,,,0,40,,,,,
tire_shop,store,,200,80,,,,,,,
used_tire_shop,store,,60,100,,,,,,,
leather_goods_store,store,,,,,,,,,,
notions_store,store,,,,,,,,,,
tobacco_shop,store,,60,100,,,,,,,
pasta_shop,store,,,,,,,,,,
craft_store,store,,,,,,,,,,
fishing_store,store,,,,,,,,,,
glass_shop,store,,,,,,,,,,
contact_lenses_supplier,store,,60,100,,,,,,,
glass_and_mirror_shop,store,,60,100,,,,,,,
ice_supplier,store,,40,100,,,,,,,
medical_supply_store,store,,,,,,,,,,
trophy_shop,store,,,,,,,,,,
appliance_parts_supplier,store,,,,0,40,,,,,
vitamin_and_supplements_store,store,,,,0,35,,,,,
solar_energy_equipment_supplier,store,,,,,,,,,,
hydraulic_equipment_supplier,store,,,,,,,,,,
machine_shop,store,,,,,,,,,,
musical_instrument_repair_shop,store,,,,,,,,,,
medical_equipment_supplier,store,,,,0,35,,,,,
hunting_and_fishing_store,store,,,,,,,,,,
telecommunications_equipment_supplier,store,,,,0,20,,,,,
beauty_supply_store,store,,,,0,20,,,,,
barber_supply_store,store,,,,0,20,,,,,
gas_cylinders_supplier,store,,,,,,,,,,
firewood_supplier,store,,100,0,,,,,,,
novelty_store,store,,100,100,,,,,,,
musical_instrument_store,store,,120,100,,,,,,,
packaging_supply_store,store,,60,100,,,,,,,
rubber_stamp_store,store,,60,100,,,,,,,
surgical_supply_store,store,,50,100,,,,,,,
needlework_shop,store,,40,100,2,0,,,,,
bazar,store,,200,100,0,25,,,,,
fabric_wholesaler,store,,200,100,0,25,,,,,
dental_supply_store,store,,,,,,,,,,
swimming_pool_supply_store,store,,,,,,,,,,
yarn_store,store,,,,,,,,,,
luggage_store,store,,,,,,,,,,
shoe_repair_shop,store,,,,,,,,,,
optician,store,,,,4,0,,,,,
religious_goods_store,store,,,,,,,,,,
supermarket,supermarket,3,1000,80,0,40,25,35,50,50,35
taxi_stand,taxi_stand,3,40,0,1,0,1,2,3,3,4
telecommunications_service_provider,telecommunications_service_provider,3,400,50,0,25,2,4,4,4,2
tourist_attraction,tourist_attraction,2,2000,10,1,0,2,2,2,2,2
train_station,train_station,3,100,0,2,0,1,2,2,1,1
travel_agency,travel_agency,3,100,80,0,25,1,2,3,4,1
university,university,1,10000,90,0,10,0,0,0,0,0
veterinary_care,veterinary_care,3,100,80,0,25,1,3,3,4,2
pet_groomer,veterinary_care,,,,,,,,,,
